Vehicle_Name,Year,Vehicle_Age,Model_Series,Trim_Level,Body_Type,Is_AMG,Is_4MATIC,Mileage_Miles,Mileage_Category,Price_USD,Price_Category,Price_Per_Mile
2025 Mercedes-Benz AMG S 63 E 4MATIC,2025,1,AMG S 63,S 63,Other,1,1,9860,Low (< 20K),151900,Luxury (> $70K),15.405679513184584
2025 Mercedes-Benz GLE 580 4MATIC,2025,1,GLE,E 580,SUV,0,1,3154,Low (< 20K),82975,Luxury (> $70K),26.307863031071655
2025 Mercedes-Benz GLS 450 4MATIC,2025,1,GLS,S 450,SUV,0,1,15496,Low (< 20K),75500,Luxury (> $70K),4.8722250903458955
2025 Mercedes-Benz GLE 450e 4MATIC,2025,1,GLE,E 450,SUV,0,1,9303,Low (< 20K),67996,Premium ($40K-$70K),7.309040094593142
2025 Mercedes-Benz GLE 450e 4MATIC,2025,1,GLE,E 450,SUV,0,1,17259,Low (< 20K),63928,Premium ($40K-$70K),3.70403847268092
2025 Mercedes-Benz AMG GLC 43 4MATIC,2025,1,AMG GLC 43,C 43,SUV,1,1,17765,Low (< 20K),57909,Premium ($40K-$70K),3.2597241767520404
2025 Mercedes-Benz AMG GLC 43 4MATIC,2025,1,AMG GLC 43,C 43,SUV,1,1,12905,Low (< 20K),54695,Premium ($40K-$70K),4.238279736536226
2025 Mercedes-Benz GLE 350 4MATIC,2025,1,GLE,E 350,SUV,0,1,24240,Medium (20K-50K),54000,Premium ($40K-$70K),2.227722772277228
2025 Mercedes-Benz CLE 300 CLE 300,2025,1,CLE,E 300,Coupe,0,0,628,Low (< 20K),51998,Premium ($40K-$70K),82.79936305732484
2025 Mercedes-Benz AMG GLB 35 4MATIC,2025,1,AMG GLB 35,GLB 35,SUV,1,1,4067,Low (< 20K),51399,Premium ($40K-$70K),12.638062453897222
2025 Mercedes-Benz AMG GLA 35 4MATIC,2025,1,AMG GLA 35,GLA 35,SUV,1,1,5192,Low (< 20K),50974,Premium ($40K-$70K),9.817796610169491
2025 Mercedes-Benz CLE 300 4MATIC Coupe,2025,1,CLE,E 300,Coupe,0,1,18059,Low (< 20K),46995,Premium ($40K-$70K),2.6023035605515257
2025 Mercedes-Benz GLB 250 4MATIC,2025,1,GLB,GLB 250,SUV,0,1,14037,Low (< 20K),39988,Mid-Range ($20K-$40K),2.8487568568782504
2025 Mercedes-Benz GLA 250 4MATIC,2025,1,GLA,GLA 250,SUV,0,1,7740,Low (< 20K),38881,Mid-Range ($20K-$40K),5.0233850129198965
2025 Mercedes-Benz GLA 250 4MATIC,2025,1,GLA,GLA 250,SUV,0,1,10818,Low (< 20K),34250,Mid-Range ($20K-$40K),3.1660195969680163
2025 Mercedes-Benz GLA 250 4MATIC,2025,1,GLA,GLA 250,SUV,0,1,20763,Medium (20K-50K),31945,Mid-Range ($20K-$40K),1.5385541588402447
2024 Mercedes-Benz AMG GT 55 Base,2024,2,AMG GT 55,AMG GT 55,Sports/Roadster,1,0,6937,Low (< 20K),122881,Luxury (> $70K),17.713853250684735
2024 Mercedes-Benz GLS 450 4MATIC,2024,2,GLS,S 450,SUV,0,1,4932,Low (< 20K),75950,Luxury (> $70K),15.399432278994324
2024 Mercedes-Benz GLE 450 Plug-In Hybrid 4MATIC,2024,2,GLE,E 450,SUV,0,1,41429,Medium (20K-50K),42997,Premium ($40K-$70K),1.037847884332231
2024 Mercedes-Benz GLC 300 GLC 300,2024,2,GLC,C 300,SUV,0,0,12851,Low (< 20K),41998,Premium ($40K-$70K),3.268072523539024
2024 Mercedes-Benz GLB 250 Base 4MATIC,2024,2,GLB,GLB 250,SUV,0,1,16364,Low (< 20K),35900,Mid-Range ($20K-$40K),2.193840136885847
2024 Mercedes-Benz C-Class C 300 4MATIC,2024,2,C-Class,C 300,Sedan,0,1,44031,Medium (20K-50K),34545,Mid-Range ($20K-$40K),0.7845608775635348
2023 Mercedes-Benz S-Class S 580 4MATIC,2023,3,S-Class,S 580,Sedan,0,1,8735,Low (< 20K),90993,Luxury (> $70K),10.41705781339439
2023 Mercedes-Benz E-Class E 450 4MATIC,2023,3,E-Class,E 450,Sedan,0,1,7650,Low (< 20K),69881,Premium ($40K-$70K),9.134771241830066
2023 Mercedes-Benz E-Class 4MATIC,2023,3,E-Class,Standard,Sedan,0,1,16332,Low (< 20K),66989,Premium ($40K-$70K),4.101702179769777
2023 Mercedes-Benz GLS 450 4MATIC,2023,3,GLS,S 450,SUV,0,1,26024,Medium (20K-50K),63960,Premium ($40K-$70K),2.4577313249308332
2023 Mercedes-Benz EQS 580 4MATIC,2023,3,EQS,S 580,Electric SUV/Sedan,0,1,22690,Medium (20K-50K),59499,Premium ($40K-$70K),2.6222565006610843
2023 Mercedes-Benz EQS 580 4MATIC,2023,3,EQS,S 580,Electric SUV/Sedan,0,1,31059,Medium (20K-50K),56881,Premium ($40K-$70K),1.831385427734312
2023 Mercedes-Benz E-Class 4MATIC,2023,3,E-Class,Standard,Sedan,0,1,16945,Low (< 20K),50000,Premium ($40K-$70K),2.950722927117144
2023 Mercedes-Benz EQS 580 4MATIC,2023,3,EQS,S 580,Electric SUV/Sedan,0,1,50908,High (50K-100K),49000,Premium ($40K-$70K),0.9625206254419738
2023 Mercedes-Benz GLE 350 4MATIC,2023,3,GLE,E 350,SUV,0,1,52557,High (50K-100K),42950,Premium ($40K-$70K),0.8172079837129212
2023 Mercedes-Benz EQE 500 500 SUV,2023,3,EQE,E 500,Electric SUV/Sedan,0,0,21627,Medium (20K-50K),42881,Premium ($40K-$70K),1.982753040181255
2023 Mercedes-Benz GLC 300 4MATIC,2023,3,GLC,C 300,SUV,0,1,11556,Low (< 20K),41400,Premium ($40K-$70K),3.5825545171339566
2023 Mercedes-Benz Metris Base,2023,3,Metris,Base,Van/Commercial,0,0,16680,Low (< 20K),38990,Mid-Range ($20K-$40K),2.3375299760191846
2023 Mercedes-Benz C-Class C 300 4MATIC,2023,3,C-Class,C 300,Sedan,0,1,21243,Medium (20K-50K),36691,Mid-Range ($20K-$40K),1.7272042555194653
2023 Mercedes-Benz C-Class C 300 4MATIC,2023,3,C-Class,C 300,Sedan,0,1,47534,Medium (20K-50K),32950,Mid-Range ($20K-$40K),0.6931880338284175
2023 Mercedes-Benz GLA 250 4MATIC,2023,3,GLA,GLA 250,SUV,0,1,20339,Medium (20K-50K),32495,Mid-Range ($20K-$40K),1.5976695019420817
2023 Mercedes-Benz C-Class,2023,3,C-Class,Standard,Sedan,0,0,28652,Medium (20K-50K),31998,Mid-Range ($20K-$40K),1.1167806784866676
2023 Mercedes-Benz GLA 250 4MATIC,2023,3,GLA,GLA 250,SUV,0,1,37663,Medium (20K-50K),28154,Mid-Range ($20K-$40K),0.7475240952659108
2022 Mercedes-Benz S-Class S 580 4MATIC,2022,4,S-Class,S 580,Sedan,0,1,36964,Medium (20K-50K),72800,Luxury (> $70K),1.9694838220971755
2022 Mercedes-Benz GLS 580 4MATIC,2022,4,GLS,S 580,SUV,0,1,53758,High (50K-100K),58000,Premium ($40K-$70K),1.0789091856095836
2022 Mercedes-Benz GLS 450 GLS 450,2022,4,GLS,S 450,SUV,0,0,53690,High (50K-100K),51998,Premium ($40K-$70K),0.968485751536599
2022 Mercedes-Benz AMG E 53 Base 4MATIC,2022,4,AMG E 53,E 53,Other,1,1,46124,Medium (20K-50K),48989,Premium ($40K-$70K),1.0621151678085161
2022 Mercedes-Benz CLS 450 Base,2022,4,Unknown,S 450,Other,0,0,28495,Medium (20K-50K),47881,Premium ($40K-$70K),1.680329882435515
2022 Mercedes-Benz Sprinter 4500 High Roof,2022,4,Sprinter,Standard,Van/Commercial,0,0,3875,Low (< 20K),46933,Premium ($40K-$70K),12.11174193548387
2022 Mercedes-Benz CLS 450 Base,2022,4,Unknown,S 450,Other,0,0,38786,Medium (20K-50K),44994,Premium ($40K-$70K),1.1600577527974012
2022 Mercedes-Benz CLS 450 Base,2022,4,Unknown,S 450,Other,0,0,34156,Medium (20K-50K),43500,Premium ($40K-$70K),1.2735683335285162
2022 Mercedes-Benz GLE 350 4MATIC,2022,4,GLE,E 350,SUV,0,1,27027,Medium (20K-50K),43466,Premium ($40K-$70K),1.6082436082436082
2022 Mercedes-Benz GLE 450 4MATIC,2022,4,GLE,E 450,SUV,0,1,43974,Medium (20K-50K),40898,Premium ($40K-$70K),0.9300495747487152
2022 Mercedes-Benz GLE 350 Base 4MATIC,2022,4,GLE,E 350,SUV,0,1,57231,High (50K-100K),35500,Mid-Range ($20K-$40K),0.6202931977424823
2022 Mercedes-Benz E-Class E 350 Sedan 4D,2022,4,E-Class,E 350,Sedan,0,0,55187,High (50K-100K),30692,Mid-Range ($20K-$40K),0.5561454690416221
2022 Mercedes-Benz GLA 250,2022,4,GLA,GLA 250,SUV,0,0,27687,Medium (20K-50K),28998,Mid-Range ($20K-$40K),1.0473507422255932
2022 Mercedes-Benz GLC 300 Base 4MATIC,2022,4,GLC,C 300,SUV,0,1,32836,Medium (20K-50K),28989,Mid-Range ($20K-$40K),0.8828420026799854
2022 Mercedes-Benz GLC 300 4MATIC,2022,4,GLC,C 300,SUV,0,1,24226,Medium (20K-50K),28490,Mid-Range ($20K-$40K),1.176009246264344
2022 Mercedes-Benz GLA 250 4MATIC,2022,4,GLA,GLA 250,SUV,0,1,48083,Medium (20K-50K),26656,Mid-Range ($20K-$40K),0.5543747270345029
2022 Mercedes-Benz A-Class A 220 4MATIC,2022,4,A-Class,Standard,Sedan,0,1,33319,Medium (20K-50K),23495,Mid-Range ($20K-$40K),0.7051532158828296
2021 Mercedes-Benz AMG G 63 Base,2021,5,AMG G 63,AMG G 63,Other,1,0,9938,Low (< 20K),169995,Luxury (> $70K),17.105554437512577
2021 Mercedes-Benz S-Class S 580 4MATIC,2021,5,S-Class,S 580,Sedan,0,1,56675,High (50K-100K),52979,Premium ($40K-$70K),0.934786060873401
2021 Mercedes-Benz E-Class E 350,2021,5,E-Class,E 350,Sedan,0,0,37175,Medium (20K-50K),33000,Mid-Range ($20K-$40K),0.8876933422999328
2021 Mercedes-Benz GLB 250,2021,5,GLB,GLB 250,SUV,0,0,31608,Medium (20K-50K),26998,Mid-Range ($20K-$40K),0.854150847886611
2021 Mercedes-Benz Metris Base,2021,5,Metris,Base,Van/Commercial,0,0,74053,High (50K-100K),26995,Mid-Range ($20K-$40K),0.364536210551902
2021 Mercedes-Benz AMG A 35 4MATIC,2021,5,AMG A 35,AMG A 35,Other,1,1,58047,High (50K-100K),26500,Mid-Range ($20K-$40K),0.45652660774889314
2021 Mercedes-Benz A-Class 4MATIC,2021,5,A-Class,Standard,Sedan,0,1,8238,Low (< 20K),25039,Mid-Range ($20K-$40K),3.0394513231366838
2021 Mercedes-Benz GLC 300 4MATIC,2021,5,GLC,C 300,SUV,0,1,74713,High (50K-100K),20990,Mid-Range ($20K-$40K),0.28094173704710024
2020 Mercedes-Benz AMG S 65 Base,2020,6,AMG S 65,S 65,Other,1,0,52802,High (50K-100K),114995,Luxury (> $70K),2.1778531116245596
2020 Mercedes-Benz E-Class E 63 AMG 4MATIC,2020,6,E-Class,E 63,Sedan,1,1,80551,High (50K-100K),63995,Premium ($40K-$70K),0.7944656180556418
2020 Mercedes-Benz S-Class,2020,6,S-Class,Standard,Sedan,0,0,36111,Medium (20K-50K),47998,Premium ($40K-$70K),1.3291794743983827
2020 Mercedes-Benz SL 450 Roadster,2020,6,Unknown,Standard,Other,0,0,66123,High (50K-100K),42500,Premium ($40K-$70K),0.6427415574006019
2020 Mercedes-Benz CLS 450 Base,2020,6,Unknown,S 450,Other,0,0,51561,High (50K-100K),32800,Mid-Range ($20K-$40K),0.6361397180039177
2020 Mercedes-Benz GLC 300 4MATIC,2020,6,GLC,C 300,SUV,0,1,74570,High (50K-100K),19000,Budget (< $20K),0.2547941531446963
2020 Mercedes-Benz C-Class C 300 4MATIC,2020,6,C-Class,C 300,Sedan,0,1,55432,High (50K-100K),19000,Budget (< $20K),0.3427623033626786
2019 Mercedes-Benz AMG G 63 4MATIC,2019,7,AMG G 63,AMG G 63,Other,1,1,61559,High (50K-100K),111990,Luxury (> $70K),1.8192303318767362
2019 Mercedes-Benz Sprinter 2500 High Roof,2019,7,Sprinter,Standard,Van/Commercial,0,0,35475,Medium (20K-50K),39995,Mid-Range ($20K-$40K),1.127413671599718
2019 Mercedes-Benz AMG SLC 43 AMG SLC 43,2019,7,AMG SLC 43,C 43,Sports/Roadster,1,0,35172,Medium (20K-50K),33998,Mid-Range ($20K-$40K),0.9666211759354032
2019 Mercedes-Benz CLA 250 4MATIC,2019,7,CLA,CLA 250,Sedan,0,1,26060,Medium (20K-50K),21992,Mid-Range ($20K-$40K),0.8438986953184958
2019 Mercedes-Benz GLA 250 4MATIC,2019,7,GLA,GLA 250,SUV,0,1,47626,Medium (20K-50K),19444,Budget (< $20K),0.4082643933985638
2019 Mercedes-Benz GLC 300 4MATIC,2019,7,GLC,C 300,SUV,0,1,51650,High (50K-100K),19000,Budget (< $20K),0.36786060019361083
2019 Mercedes-Benz Metris Base,2019,7,Metris,Base,Van/Commercial,0,0,104190,Very High (> 100K),18990,Budget (< $20K),0.18226317304923698
2019 Mercedes-Benz GLA 250 Base,2019,7,GLA,GLA 250,SUV,0,0,69544,High (50K-100K),17127,Budget (< $20K),0.24627573910042563
2019 Mercedes-Benz E-Class 4MATIC,2019,7,E-Class,Standard,Sedan,0,1,84986,High (50K-100K),16996,Budget (< $20K),0.1999858800272986
2019 Mercedes-Benz GLC 300 4MATIC,2019,7,GLC,C 300,SUV,0,1,101088,Very High (> 100K),15675,Budget (< $20K),0.15506291547958215
2019 Mercedes-Benz GLA 250 4MATIC,2019,7,GLA,GLA 250,SUV,0,1,81715,High (50K-100K),13700,Budget (< $20K),0.16765587713394114
2018 Mercedes-Benz E-Class E 400 4MATIC,2018,8,E-Class,E 400,Sedan,0,1,45854,Medium (20K-50K),31881,Mid-Range ($20K-$40K),0.6952719501024992
2018 Mercedes-Benz AMG GLE 43 Coupe 4MATIC,2018,8,AMG GLE 43,E 43,SUV,1,1,88960,High (50K-100K),30498,Mid-Range ($20K-$40K),0.34282823741007196
2018 Mercedes-Benz GLS 550 Base 4MATIC,2018,8,GLS,S 550,SUV,0,1,75441,High (50K-100K),29881,Mid-Range ($20K-$40K),0.39608435731233677
2018 Mercedes-Benz E-Class 4MATIC,2018,8,E-Class,Standard,Sedan,0,1,83451,High (50K-100K),17999,Budget (< $20K),0.21568345496159422
2018 Mercedes-Benz E-Class 4MATIC,2018,8,E-Class,Standard,Sedan,0,1,101685,Very High (> 100K),16823,Budget (< $20K),0.16544229729065252
2018 Mercedes-Benz C-Class C 300 4MATIC,2018,8,C-Class,C 300,Sedan,0,1,63640,High (50K-100K),16597,Budget (< $20K),0.2607950974230044
2017 Mercedes-Benz Sprinter 2500 Standard Roof,2017,9,Sprinter,Standard,Van/Commercial,0,0,79899,High (50K-100K),23950,Mid-Range ($20K-$40K),0.29975343871637944
2017 Mercedes-Benz GLE 550e,2017,9,GLE,E 550,SUV,0,0,36235,Medium (20K-50K),22998,Mid-Range ($20K-$40K),0.6346902166413688
2017 Mercedes-Benz AMG GLC 43 4MATIC,2017,9,AMG GLC 43,C 43,SUV,1,1,62485,High (50K-100K),22988,Mid-Range ($20K-$40K),0.3678962951108266
2017 Mercedes-Benz E-Class E 300 Sport RWD Sedan,2017,9,E-Class,E 300,Sedan,0,0,67400,High (50K-100K),17599,Budget (< $20K),0.2611127596439169
2017 Mercedes-Benz GLE 350 4MATIC,2017,9,GLE,E 350,SUV,0,1,94352,High (50K-100K),16364,Budget (< $20K),0.17343564524334407
2017 Mercedes-Benz GLS 450 4MATIC,2017,9,GLS,S 450,SUV,0,1,100203,Very High (> 100K),15400,Budget (< $20K),0.15368801333293414
2016 Mercedes-Benz GL-Class,2016,10,GL-Class,Standard,SUV,0,0,47269,Medium (20K-50K),24998,Mid-Range ($20K-$40K),0.5288455435909369
2015 Mercedes-Benz E-Class E 350 4MATIC,2015,11,E-Class,E 350,Sedan,0,1,88167,High (50K-100K),17900,Budget (< $20K),0.20302380709335693
2015 Mercedes-Benz E-Class E 350,2015,11,E-Class,E 350,Sedan,0,0,62654,High (50K-100K),16981,Budget (< $20K),0.2710281865483449
2015 Mercedes-Benz GLA-Class GLA 250,2015,11,GLA-Class,GLA 250,SUV,0,0,82288,High (50K-100K),15998,Budget (< $20K),0.19441473847948668
2015 Mercedes-Benz M-Class 4MATIC,2015,11,M-Class,Standard,SUV,0,1,85523,High (50K-100K),13500,Budget (< $20K),0.15785227365737872
2014 Mercedes-Benz S-Class S 550,2014,12,S-Class,S 550,Sedan,0,0,95218,High (50K-100K),20995,Mid-Range ($20K-$40K),0.22049402423911446
2014 Mercedes-Benz E-Class E 350 4MATIC Sedan 4D,2014,12,E-Class,E 350,Sedan,0,1,95536,High (50K-100K),11850,Budget (< $20K),0.12403701222575783
2014 Mercedes-Benz GLK-Class GLK 350 4MATIC,2014,12,GLK-Class,GLK 350,Other,0,1,93434,High (50K-100K),10996,Budget (< $20K),0.11768735149945415
2014 Mercedes-Benz M-Class 4MATIC,2014,12,M-Class,Standard,SUV,0,1,94061,High (50K-100K),10994,Budget (< $20K),0.11688159811186358
2014 Mercedes-Benz E-Class E 250 BlueTEC 4MATIC,2014,12,E-Class,E 250,Sedan,0,1,186500,Very High (> 100K),9650,Budget (< $20K),0.051742627345844505
2013 Mercedes-Benz GLK-Class GLK 350 4MATIC,2013,13,GLK-Class,GLK 350,Other,0,1,131643,Very High (> 100K),11980,Budget (< $20K),0.0910036993991325
2012 Mercedes-Benz M-Class ML 350 4MATIC,2012,14,M-Class,Standard,SUV,0,1,118174,Very High (> 100K),11498,Budget (< $20K),0.09729720581515393
2008 Mercedes-Benz E-Class E 350 Sedan 4D,2008,18,E-Class,E 350,Sedan,0,0,91577,High (50K-100K),7490,Budget (< $20K),0.08178909551524946
2005 Mercedes-Benz CLK-Class 320 Cabriolet,2005,21,CLK-Class,Standard,Coupe,0,0,93350,High (50K-100K),6420,Budget (< $20K),0.06877343331547937
